County,SeriesId
Washington County,IDWASH7URN
Adams County,ILADURN
Alexander County,ILALURN
Bond County,ILBOURN
Boone County,ILBOON7URN
Brown County,ILBRURN
Bureau County,ILBURE1URN
Calhoun County,ILCAURN
Carroll County,ILCARR5URN
Cass County,ILCASS7URN
Champaign County,ILCHAM9URN
Christian County,ILCHRI1URN
Clark County,ILCLAR3URN
Clay County,ILCYURN
Clinton County,ILCNURN
Coles County,ILCOLE3URN
Cook County,ILCOOK1URN
Crawford County,ILCWURN
Cumberland County,ILCUMB5URN
De Witt County,ILDEWI9URN
DeKalb County,ILDEKA5URN
Douglas County,ILDOUG1URN
DuPage County,ILDUPA0URN
Edgar County,ILEDGA5URN
Edwards County,ILEWURN
Effingham County,ILEFURN
Fayette County,ILFAURN
Ford County,ILFORD3URN
Franklin County,ILFRURN
Fulton County,ILFULT7URN
Gallatin County,ILGAURN
Greene County,ILGRURN
Grundy County,ILGRUN3URN
Hamilton County,ILHAURN
Hancock County,ILHANC7URN
Hardin County,ILHRURN
Henderson County,ILHEND1URN
Henry County,ILHENR0URN
Iroquois County,ILIROQ5URN
Jackson County,ILJAURN
Jasper County,ILJSURN
Jefferson County,ILJEURN
Jersey County,ILJRURN
Jo Daviess County,ILJODA5URN
Johnson County,ILJHURN
Kane County,ILKANE2URN
Kankakee County,ILKANK0URN
Kendall County,ILKEND3URN
Knox County,ILKNOX5URN
Lake County,ILLAKE7URN
LaSalle County,
Lawrence County,ILLWURN
Lee County,ILLEEC3URN
Livingston County,ILLIVI5URN
Logan County,ILLOGA7URN
Macon County,ILMACO2URN
Macoupin County,ILMOURN
Madison County,ILMDURN
Marion County,ILMRURN
Marshall County,ILMARS3URN
Mason County,ILMASO5URN
Massac County,ILMUURN
McDonough County,ILMCDO9URN
McHenry County,ILMCHE0URN
McLean County,ILMCLE2URN
Menard County,ILMENA9URN
Mercer County,ILMERC1URN
Monroe County,ILMYURN
Montgomery County,ILMGURN
Morgan County,ILMIURN
Moultrie County,ILMOUL9URN
Ogle County,ILOGLE1URN
Peoria County,ILPEOR3URN
Perry County,ILPRURN
Piatt County,ILPIAT7URN
Pike County,ILPKURN
Pope County,ILPOURN
Pulaski County,ILPUURN
Putnam County,ILPUTN5URN
Randolph County,ILRAURN
Richland County,ILRIURN
Rock Island County,ILROCK5URN
Saline County,ILSAURN
Sangamon County,ILSANG7URN
Schuyler County,ILSCHU9URN
Scott County,ILSOURN
Shelby County,ILSHEL3URN
St. Clair County,ILSTURN
Stark County,ILSTAR5URN
Stephenson County,ILSTEP7URN
Tazewell County,ILTAZE5URN
Union County,ILUNURN
Vermilion County,ILVERM0URN
Wabash County,ILWAURN
Warren County,ILWARR7URN
Washington County,ILWSURN
Wayne County,ILWYURN
White County,ILWHURN
Whiteside County,ILWHIT5URN
Will County,ILWILL7URN
Williamson County,ILWMURN
Winnebago County,ILWINN1URN
Woodford County,ILWOOD3URN
Adams County,INADAM1URN
Allen County,INALLE3URN
Bartholomew County,INBART5URN
Benton County,INBENT7URN
Blackford County,INBLAC9URN
Boone County,INBOON1URN
Brown County,INBROW3URN
Carroll County,INCARR5URN
Cass County,INCASS7URN
Clark County,INCLURN
Clay County,INCLAY1URN
Clinton County,INCLIN3URN
Crawford County,INCRURN
Daviess County,INDAURN
Dearborn County,INDEAR9URN
Decatur County,INDECA1URN
DeKalb County,INDEKA3URN
Delaware County,INDELA5URN
Dubois County,INDUURN
Elkhart County,INELKH0URN
Fayette County,INFAYE1URN
Floyd County,INFLURN
Fountain County,INFOUN5URN
Franklin County,INFRAN7URN
Fulton County,INFULT9URN
Gibson County,INGIURN
Grant County,INGRAN0URN
Greene County,INGEURN
Hamilton County,INHAMI5URN
Hancock County,INHANC9URN
Harrison County,INHRURN
Hendricks County,INHEND0URN
Henry County,INHENR5URN
Howard County,INHOWA7URN
Huntington County,INHUNT9URN
Jackson County,INJAURN
Jasper County,INJASP3URN
Jay County,INJAYC5URN
Jefferson County,INJEURN
Jennings County,INJENN9URN
Johnson County,INJOHN5URN
Knox County,INKNURN
Kosciusko County,INKOSC5URN
LaGrange County,INLAGR7URN
Lake County,INLAKE9URN
LaPorte County,INLAPO0URN
Lawrence County,INLWURN
Madison County,INMADI5URN
Marion County,INMARI0URN
Marshall County,INMARS9URN
Martin County,INMTURN
Miami County,INMIAM3URN
Monroe County,INMONR5URN
Montgomery County,INMONT7URN
Morgan County,INMORG5URN
Newton County,INNEWT1URN
Noble County,INNOBL3URN
Ohio County,INOHIO5URN
Orange County,INORURN
Owen County,INOWEN9URN
Parke County,INPARK1URN
Perry County,INPEURN
Pike County,INPIURN
Porter County,INPORT5URN
Posey County,INPSURN
Pulaski County,INPULA1URN
Putnam County,INPUTN3URN
Randolph County,INRAND5URN
Ripley County,INRIPL7URN
Rush County,INRUSH9URN
Scott County,INSCURN
Shelby County,INSHEL5URN
Spencer County,INSPURN
St. Joseph County,INSTJO7URN
Starke County,INSTAR9URN
Steuben County,INSTEU1URN
Sullivan County,INSUURN
Switzerland County,INSWURN
Tippecanoe County,INTIPP7URN
Tipton County,INTIPT9URN
Union County,INUNIO1URN
Vanderburgh County,INVAURN
Vermillion County,INVERM5URN
Vigo County,INVIGO0URN
Wabash County,INWABA9URN
Warren County,INWARR1URN
Warrick County,INWIURN
Washington County,INWSURN
Wayne County,INWAYN0URN
Wells County,INWELL9URN
White County,INWHIT1URN
Whitley County,INWHIT3URN
Adair County,IAADAI1URN
Adams County,IAADAM3URN
Allamakee County,IAALLA5URN
Appanoose County,IAAPPA7URN
Audubon County,IAAUDU9URN
Benton County,IABENT1URN
Black Hawk County,IABLAC2URN
Boone County,IABOON5URN
Bremer County,IABREM7URN
Buchanan County,IABUCH9URN
Buena Vista County,IABUEN1URN
Butler County,IABUTL3URN
Calhoun County,IACALH5URN
Carroll County,IACARR7URN
Cass County,IACASS9URN
Cedar County,IACEDA1URN
Cerro Gordo County,IACERR3URN
Cherokee County,IACHER5URN
Chickasaw County,IACHIC7URN
Clarke County,IACLAR9URN
Clay County,IACLAY1URN
Clayton County,IACLAY3URN
Clinton County,IACLIN0URN
Crawford County,IACRAW7URN
Dallas County,IADALL9URN
Davis County,IADAVI1URN
Decatur County,IADECA3URN
Delaware County,IADELA5URN
Des Moines County,IADESM7URN
Dickinson County,IADICK9URN
Dubuque County,IADUBU1URN
Emmet County,IAEMME3URN
Fayette County,IAFAYE5URN
Floyd County,IAFLOY7URN
